m,v,KE
1,1,0.5
1,2,2
1,3,4.5
1,4,8
1,5,12.5
1,6,18
1,7,24.5
1,8,32
1,9,40.5
1,10,50
2,1,1
2,2,4
2,3,9
2,4,16
2,5,25
2,6,36
2,7,49
2,8,64
2,9,81
2,10,100
3,1,1.5
3,2,6
3,3,13.5
3,4,24
3,5,37.5
3,6,54
3,7,73.5
3,8,96
3,9,121.5
3,10,150
4,1,2
4,2,8
4,3,18
4,4,32
4,5,50
4,6,72
4,7,98
4,8,128
4,9,162
4,10,200
5,1,2.5
5,2,10
5,3,22.5
5,4,40
5,5,62.5
5,6,90
5,7,122.5
5,8,160
5,9,202.5
5,10,250
6,1,3
6,2,12
6,3,27
6,4,48
6,5,75
6,6,108
6,7,147
6,8,192
6,9,243
6,10,300
7,1,3.5
7,2,14
7,3,31.5
7,4,56
7,5,87.5
7,6,126
7,7,171.5
7,8,224
7,9,283.5
7,10,350
8,1,4
8,2,16
8,3,36
8,4,64
8,5,100
8,6,144
8,7,196
8,8,256
8,9,324
8,10,400
9,1,4.5
9,2,18
9,3,40.5
9,4,72
9,5,112.5
9,6,162
9,7,220.5
9,8,288
9,9,364.5
9,10,450
10,1,5
10,2,20
10,3,45
10,4,80
10,5,125
10,6,180
10,7,245
10,8,320
10,9,405
10,10,500
